card	vers	task	X1	X2	X3	X4	X5	X6	X7	X8	X9
1	1	1	1	1	3	3	2	2	2	1	3
2	1	2	3	1	3	3	1	3	3	3	2
3	1	3	2	3	1	1	1	2	2	1	2
4	1	4	1	3	2	2	3	1	3	2	1
5	1	5	2	2	1	2	2	1	1	3	3
6	1	6	3	2	2	1	2	2	1	2	2
7	2	1	1	1	1	2	2	2	3	2	2
8	2	2	2	2	3	1	3	2	3	3	3
9	2	3	3	3	3	2	3	3	1	1	2
10	2	4	3	3	1	3	2	1	2	3	1
11	2	5	2	1	2	3	1	3	1	2	3
12	2	6	1	2	2	2	1	1	2	3	2
13	3	1	2	1	2	2	3	2	2	3	1
14	3	2	2	3	3	3	2	1	3	2	2
15	3	3	1	3	2	1	2	3	3	3	3
16	3	4	1	2	1	3	3	3	2	2	3
17	3	5	1	1	3	1	1	1	1	1	1
18	3	6	3	2	2	3	1	2	3	1	1
19	4	1	3	1	1	1	3	1	3	2	3
20	4	2	2	2	1	2	2	3	3	1	1
21	4	3	2	2	3	1	2	3	2	2	1
22	4	4	3	3	3	2	1	2	2	2	3
23	4	5	2	1	2	3	3	1	2	1	2
24	4	6	1	3	1	3	3	2	1	3	1
